fall_term,campus,broad_discipline,applicants,admits,enrollees,admit_rate,yield_rate,admit_gpa_p25,admit_gpa_p75,enrollee_gpa_p25,enrollee_gpa_p75
2025,Berkeley,All disciplines,126830,14360,6688,0.11,0.47,4.15,4.29,4.11,4.28
2025,Berkeley,Architecture,2865,222,123,0.08,0.55,4.14,4.3,4.12,4.29
2025,Berkeley,Arts & Humanities,8925,2256,992,0.25,0.44,4.06,4.27,4.0,4.25
2025,Berkeley,Business,7102,323,181,0.05,0.56,4.2,4.3,4.19,4.3
2025,Berkeley,Computer Science,9750,629,396,0.06,0.63,4.2,4.29,4.18,4.29
2025,Berkeley,Engineering,25025,1788,1002,0.07,0.56,4.2,4.3,4.18,4.29
2025,Berkeley,Life Sciences,19316,3114,1161,0.16,0.37,4.16,4.29,4.11,4.28
2025,Berkeley,Other/Interdisciplinary,6498,835,321,0.13,0.38,4.16,4.29,4.09,4.28
2025,Berkeley,Physical Sciences/Math,12109,1993,945,0.16,0.47,4.18,4.29,4.14,4.28
2025,Berkeley,Public Admin,278,39,16,0.14,0.41,4.08,4.26,4.07,4.25
2025,Berkeley,Public Health,3415,74,30,0.02,0.41,4.16,4.29,4.04,4.25
2025,Berkeley,Social Sciences,20627,1758,788,0.09,0.45,4.15,4.29,4.09,4.27
2025,Berkeley,Undeclared,10920,1329,733,0.12,0.55,4.11,4.28,4.06,4.25
2025,Davis,All disciplines,102988,45673,6805,0.44,0.15,4.0,4.26,3.91,4.21
2025,Davis,Architecture,526,130,12,0.25,0.09,4.03,4.25,3.85,4.21
2025,Davis,Arts & Humanities,6530,3437,391,0.53,0.11,3.94,4.24,3.78,4.12
2025,Davis,Business,9308,2426,325,0.26,0.13,4.0,4.25,3.9,4.2
2025,Davis,Computer Science,4893,946,74,0.19,0.08,4.2,4.3,4.2,4.28
2025,Davis,Engineering,17866,6935,813,0.39,0.12,4.08,4.28,4.0,4.27
2025,Davis,Life Sciences,25418,12732,2527,0.5,0.2,4.03,4.27,3.96,4.22
2025,Davis,Other/Interdisciplinary,5808,2871,398,0.49,0.14,4.0,4.25,3.81,4.13
2025,Davis,Physical Sciences/Math,6245,3758,434,0.6,0.12,4.0,4.26,3.87,4.19
2025,Davis,Public Admin,118,90,15,0.76,0.17,3.83,4.21,3.63,3.95
2025,Davis,Social Sciences,18584,8775,1219,0.47,0.14,4.0,4.24,3.85,4.14
2025,Davis,Undeclared,6805,3079,503,0.45,0.16,3.96,4.21,3.82,4.13
2025,Irvine,All disciplines,124223,35658,6423,0.29,0.18,4.04,4.27,4.0,4.25
2025,Irvine,Arts & Humanities,7179,2454,398,0.34,0.16,3.93,4.23,3.8,4.11
2025,Irvine,Business,17907,2893,352,0.16,0.12,4.08,4.28,4.05,4.27
2025,Irvine,Computer Science,6794,1874,311,0.28,0.17,4.17,4.29,4.14,4.28
2025,Irvine,Engineering,20276,5387,1025,0.27,0.19,4.15,4.29,4.12,4.29
2025,Irvine,Life Sciences,18556,5620,888,0.3,0.16,4.12,4.29,4.07,4.27
2025,Irvine,Other/Interdisciplinary,4376,1424,169,0.33,0.12,4.07,4.27,4.0,4.22
2025,Irvine,Physical Sciences/Math,6811,3739,576,0.55,0.15,4.02,4.26,3.93,4.2
2025,Irvine,Public Health,3164,1159,273,0.37,0.24,4.08,4.25,4.0,4.21
2025,Irvine,Social Sciences,20261,6409,1054,0.32,0.16,4.0,4.25,3.93,4.2
2025,Irvine,Undeclared,8383,3221,989,0.38,0.31,3.93,4.2,3.87,4.14
2025,Los Angeles,All disciplines,145060,13659,6551,0.09,0.48,4.2,4.3,4.18,4.3
2025,Los Angeles,Arts & Humanities,14569,1295,665,0.09,0.51,4.04,4.28,4.0,4.27
2025,Los Angeles,Business,13196,1146,570,0.09,0.5,4.19,4.3,4.16,4.3
2025,Los Angeles,Computer Science,6803,498,138,0.07,0.28,4.25,4.3,4.23,4.32
2025,Los Angeles,Engineering,23911,1591,647,0.07,0.41,4.25,4.32,4.25,4.32
2025,Los Angeles,Life Sciences,23700,3121,1657,0.13,0.53,4.21,4.3,4.21,4.3
2025,Los Angeles,Other/Interdisciplinary,4579,613,303,0.13,0.49,4.21,4.3,4.2,4.3
2025,Los Angeles,Physical Sciences/Math,12894,1895,769,0.15,0.41,4.22,4.3,4.22,4.3
2025,Los Angeles,Public Admin,876,127,46,0.14,0.36,4.2,4.29,4.21,4.29
2025,Los Angeles,Social Sciences,24248,2220,1141,0.09,0.51,4.19,4.3,4.17,4.3
2025,Los Angeles,Undeclared,10486,721,360,0.07,0.5,4.16,4.3,4.13,4.3
2025,Merced,All disciplines,49366,46565,1982,0.94,0.04,3.55,4.15,3.27,3.9
2025,Merced,Arts & Humanities,1625,1476,47,0.91,0.03,3.5,4.08,3.28,3.74
2025,Merced,Business,3674,3382,123,0.92,0.04,3.45,4.06,3.26,3.95
2025,Merced,Engineering,11565,11206,603,0.97,0.05,3.69,4.21,3.33,3.93
2025,Merced,Life Sciences,10012,9646,438,0.96,0.05,3.62,4.18,3.3,3.93
